,Method,4,4,4,6,6,6,8,8,8,10,10,10
,,TPR,FDR,SHD,TPR,FDR,SHD,TPR,FDR,SHD,TPR,FDR,SHD
0,DCD (Ours),0.84 ± 0.06,0.20 ± 0.15,4.11 ± 2.32,0.77 ± 0.00,0.42 ± 0.11,10.78 ± 3.49,0.79 ± 0.00,0.46 ± 0.06,12.44 ± 2.30,0.76 ± 0.00,0.44 ± 0.04,14.33 ± 1.58
1,PCMCI+,0.34 ± 0.16,0.69 ± 0.26,8.44 ± 4.50,0.19 ± 0.10,0.90 ± 0.05,14.11 ± 3.72,0.25 ± 0.00,0.80 ± 0.05,14.78 ± 2.64,0.30 ± 0.00,0.79 ± 0.06,18.78 ± 3.35
2,CD-NOD,0.23 ± 0.01,0.50 ± 0.00,8.67 ± 0.50,0.18 ± 0.00,0.60 ± 0.00,12.00 ± 0.00,0.29 ± 0.00,0.60 ± 0.00,8.00 ± 0.00,0.22 ± 0.00,0.60 ± 0.00,10.00 ± 0.00
3,CFCI,0.26 ± 0.06,0.89 ± 0.01,18.56 ± 5.57,0.35 ± 0.10,0.87 ± 0.02,18.67 ± 1.66,0.29 ± 0.06,0.88 ± 0.02,24.56 ± 4.53,0.31 ± 0.03,0.88 ± 0.02,30.56 ± 3.24
4,CPC,0.07 ± 0.06,0.95 ± 0.03,18.44 ± 4.98,0.23 ± 0.12,0.90 ± 0.04,17.11 ± 3.14,0.24 ± 0.04,0.88 ± 0.04,24.67 ± 5.41,0.20 ± 0.00,0.91 ± 0.02,28.33 ± 4.36
5,BOSS-LiNGAM,0.26 ± 0.06,0.91 ± 0.02,21.22 ± 4.02,0.32 ± 0.08,0.89 ± 0.02,20.00 ± 2.50,0.31 ± 0.08,0.90 ± 0.03,31.67 ± 7.76,0.41 ± 0.03,0.87 ± 0.04,37.00 ± 10.56
