lag,i,sample_size,algorithm,TPR,FDR,SHD
3,8,500,CFCI,0.4,0.857142857,30
3,8,500,CPC,0.2,0.916666667,30
3,8,500,DCD,0.785714286,0.45,12
3,8,500,PCMCI+,0.25,0.818181818,15
3,8,1000,BOSS-LiNGAM,0.25,0.923076923,30
3,8,1000,CD-NOD,0.285714286,0.6,8
3,8,1000,CFCI,0.25,0.888888889,22
3,8,1000,CPC,0.3,0.857142857,25
3,8,1000,DCD,0.785714286,0.476190476,13
3,8,1000,PCMCI+,0.25,0.8,14
3,8,1500,BOSS-LiNGAM,0.25,0.92,29
3,8,1500,CD-NOD,0.285714286,0.6,8
3,8,1500,CFCI,0.25,0.882352941,21
3,8,1500,CPC,0.3,0.823529412,21
3,8,1500,DCD,0.785714286,0.5,14
3,8,1500,PCMCI+,0.25,0.8,14
3,10,500,BOSS-LiNGAM,0.4,0.878787879,35
3,10,500,CD-NOD,0.222222222,0.6,10
3,10,500,CFCI,0.3,0.892857143,32
3,10,500,CPC,0.2,0.913043478,29
3,10,500,DCD,0.764705882,0.458333333,15
3,10,500,PCMCI+,0.3,0.823529412,21
3,10,1000,BOSS-LiNGAM,0.4,0.882352941,36
3,10,1000,CD-NOD,0.222222222,0.6,10
3,10,1000,CFCI,0.4,0.857142857,30
3,10,1000,CPC,0.2,0.916666667,30
3,10,1000,DCD,0.764705882,0.458333333,15
3,10,1000,PCMCI+,0.3,0.823529412,21
3,10,1500,BOSS-LiNGAM,0.5,0.852941176,34
3,10,1500,CD-NOD,0.222222222,0.6,10
3,10,1500,CFCI,0.3,0.896551724,33
3,10,1500,CPC,0.2,0.913043478,29
3,10,1500,DCD,0.764705882,0.48,16
3,10,1500,PCMCI+,0.3,0.823529412,21
4,4,500,BOSS-LiNGAM,0.222222222,0.882352941,22
4,4,500,CD-NOD,0.222222222,0.5,9
4,4,500,CFCI,0.222222222,0.894736842,24
4,4,500,CPC,0.111111111,0.9375,23
4,4,500,DCD,0.8,0.384615385,7
4,4,500,PCMCI+,0.4,0.818181818,12
4,4,1000,BOSS-LiNGAM,0.222222222,0.882352941,22
4,4,1000,CD-NOD,0.222222222,0.5,9
4,4,1000,CFCI,0.222222222,0.894736842,24
4,4,1000,CPC,0.111111111,0.9375,23
4,4,1000,DCD,0.9,0.4,7
4,4,1000,PCMCI+,0.4,0.857142857,15
4,4,1500,BOSS-LiNGAM,0.222222222,0.888888889,23
4,4,1500,CD-NOD,0.222222222,0.5,9
4,4,1500,CFCI,0.222222222,0.882352941,22
