,Method,500,500,500,1000,1000,1000,1500,1500,1500
,,TPR,FDR,SHD,TPR,FDR,SHD,TPR,FDR,SHD
0,DCD (Ours),0.79 ± 0.03,0.36 ± 0.16,10.08 ± 4.74,0.79 ± 0.05,0.38 ± 0.14,10.33 ± 4.72,0.79 ± 0.04,0.40 ± 0.13,10.83 ± 4.69
1,PCMCI+,0.27 ± 0.08,0.79 ± 0.16,14.17 ± 5.04,0.28 ± 0.12,0.77 ± 0.18,13.92 ± 5.47,0.25 ± 0.13,0.82 ± 0.13,14.00 ± 5.20
2,CD-NOD,0.23 ± 0.04,0.57 ± 0.05,9.67 ± 1.61,0.23 ± 0.04,0.57 ± 0.05,9.67 ± 1.61,0.23 ± 0.04,0.57 ± 0.05,9.67 ± 1.61
3,CFCI,0.32 ± 0.07,0.88 ± 0.02,24.58 ± 7.27,0.28 ± 0.06,0.88 ± 0.01,22.58 ± 5.73,0.30 ± 0.08,0.88 ± 0.01,22.08 ± 6.16
4,CPC,0.19 ± 0.12,0.91 ± 0.04,22.75 ± 6.96,0.19 ± 0.09,0.91 ± 0.05,22.25 ± 6.15,0.18 ± 0.08,0.91 ± 0.04,21.42 ± 6.44
5,BOSS-LiNGAM,0.34 ± 0.07,0.89 ± 0.03,28.75 ± 11.39,0.31 ± 0.07,0.90 ± 0.03,27.25 ± 9.27,0.32 ± 0.10,0.89 ± 0.03,26.42 ± 9.42
