Variables	Samples	Lag	Period	TPR	FDR	SHD
-----------------------------------------------------------------
4		500	2	10	0.500	0.750	8
4		500	4	10	0.500	0.714	7
4		500	6	10	0.500	0.750	8
4		500	2	15	0.750	0.625	6
4		500	4	15	0.750	0.571	5
4		500	6	15	0.750	0.571	5
4		500	2	20	0.500	0.667	6
4		500	4	20	0.500	0.714	7
4		500	6	20	0.500	0.750	8
4		500	2	25	0.500	0.667	6
4		500	4	25	0.500	0.778	9
4		500	6	25	0.500	0.714	7
4		500	2	30	0.750	0.250	2
4		500	4	30	0.750	0.000	1
4		500	6	30	0.750	0.250	2
4		500	2	35	0.500	0.800	10
4		500	4	35	0.500	0.714	7
4		500	6	35	0.500	0.714	7
4		1000	2	10	0.500	0.714	7
4		1000	4	10	0.500	0.778	9
4		1000	6	10	0.500	0.750	8
4		1000	2	15	0.750	0.571	5
4		1000	4	15	0.750	0.625	6
4		1000	6	15	0.750	0.700	8
4		1000	2	20	0.500	0.750	8
4		1000	4	20	0.500	0.778	9
4		1000	6	20	0.500	0.778	9
4		1000	2	25	0.500	0.714	7
4		1000	4	25	0.500	0.750	8
4		1000	6	25	0.500	0.714	7
4		1000	2	30	0.750	0.400	3
4		1000	4	30	0.750	0.400	3
4		1000	6	30	0.750	0.400	3
4		1000	2	35	0.750	0.667	7
4		1000	4	35	0.500	0.778	9
4		1000	6	35	0.500	0.750	8
4		1500	2	10	0.500	0.778	9
4		1500	4	10	0.500	0.778	9
4		1500	6	10	0.500	0.818	11
4		1500	2	15	0.750	0.500	4
4		1500	4	15	0.750	0.500	4
4		1500	6	15	0.750	0.500	4
4		1500	2	20	0.500	0.750	8
4		1500	4	20	0.500	0.750	8
4		1500	6	20	0.500	0.714	7
4		1500	2	25	0.500	0.714	7
4		1500	4	25	1.000	0.600	6
4		1500	6	25	1.000	0.556	5
4		1500	2	30	0.750	0.000	1
4		1500	4	30	0.750	0.000	1
4		1500	6	30	0.750	0.250	2
4		1500	2	35	0.500	0.778	9
4		1500	4	35	0.750	0.667	7
4		1500	6	35	0.500	0.778	9
6		500	2	10	0.833	0.583	8
6		500	4	10	0.667	0.733	13
6		500	6	10	0.833	0.688	12
6		500	2	15	0.833	0.545	7
6		500	4	15	1.000	0.571	8
6		500	6	15	1.000	0.571	8
6		500	2	20	0.833	0.500	6
6		500	4	20	0.667	0.692	11
6		500	6	20	0.833	0.643	10
6		500	2	25	0.833	0.545	7
6		500	4	25	0.833	0.667	11
6		500	6	25	0.833	0.688	12
6		500	2	30	1.000	0.333	3
6		500	4	30	1.000	0.500	6
6		500	6	30	1.000	0.400	4
6		500	2	35	0.833	0.583	8
6		500	4	35	0.500	0.769	13
6		500	6	35	0.833	0.688	12
6		1000	2	10	0.833	0.615	9
6		1000	4	10	0.667	0.714	12
6		1000	6	10	0.667	0.667	10
6		1000	2	15	1.000	0.600	9
6		1000	4	15	1.000	0.538	7
6		1000	6	15	1.000	0.571	8
6		1000	2	20	0.833	0.643	10
6		1000	4	20	0.667	0.636	9
6		1000	6	20	0.833	0.643	10
6		1000	2	25	0.833	0.615	9
6		1000	4	25	0.833	0.667	11
6		1000	6	25	0.833	0.706	13
6		1000	2	30	1.000	0.500	6
6		1000	4	30	1.000	0.571	8
6		1000	6	30	1.000	0.571	8
6		1000	2	35	0.833	0.615	9
6		1000	4	35	0.667	0.750	14
6		1000	6	35	0.833	0.722	14
6		1500	2	10	0.833	0.667	11
6		1500	4	10	0.833	0.667	11
6		1500	6	10	0.833	0.688	12
6		1500	2	15	1.000	0.455	5
6		1500	4	15	1.000	0.625	10
6		1500	6	15	1.000	0.684	13
6		1500	2	20	1.000	0.647	11
6		1500	4	20	0.833	0.667	11
6		1500	6	20	0.833	0.667	11
6		1500	2	25	0.833	0.615	9
6		1500	4	25	0.833	0.667	11
6		1500	6	25	0.833	0.667	11
6		1500	2	30	1.000	0.500	6
6		1500	4	30	1.000	0.400	4
6		1500	6	30	1.000	0.455	5
6		1500	2	35	1.000	0.538	7
6		1500	4	35	0.833	0.688	12
6		1500	6	35	0.833	0.773	18
8		500	2	10	0.375	0.667	11
8		500	4	10	0.500	0.556	9
8		500	6	10	0.500	0.600	10
8		500	2	15	0.375	0.571	9
8		500	4	15	0.375	0.625	10
8		500	6	15	0.375	0.667	11
8		500	2	20	0.500	0.556	9
8		500	4	20	0.500	0.429	7
8		500	6	20	0.500	0.500	8
8		500	2	25	0.500	0.636	11
8		500	4	25	0.500	0.500	8
8		500	6	25	0.500	0.500	8
8		500	2	30	0.375	0.571	9
8		500	4	30	0.375	0.571	9
8		500	6	30	0.375	0.667	11
8		500	2	35	0.375	0.625	10
8		500	4	35	0.375	0.750	14
8		500	6	35	0.375	0.667	11
8		1000	2	10	0.625	0.500	8
8		1000	4	10	0.500	0.600	10
8		1000	6	10	0.500	0.600	10
8		1000	2	15	0.375	0.700	12
8		1000	4	15	0.500	0.556	9
8		1000	6	15	0.375	0.727	13
8		1000	2	20	0.500	0.556	9
8		1000	4	20	0.500	0.429	7
8		1000	6	20	0.500	0.667	12
8		1000	2	25	0.625	0.375	6
8		1000	4	25	0.625	0.500	8
8		1000	6	25	0.625	0.545	9
8		1000	2	30	0.500	0.600	10
8		1000	4	30	0.375	0.625	10
8		1000	6	30	0.500	0.556	9
8		1000	2	35	0.500	0.500	8
8		1000	4	35	0.500	0.636	11
8		1000	6	35	0.500	0.636	11
8		1500	2	10	0.500	0.500	8
8		1500	4	10	0.500	0.667	12
8		1500	6	10	0.500	0.692	13
8		1500	2	15	0.500	0.636	11
8		1500	4	15	0.500	0.667	12
8		1500	6	15	0.500	0.636	11
8		1500	2	20	0.625	0.500	8
8		1500	4	20	0.625	0.545	9
8		1500	6	20	0.750	0.500	8
8		1500	2	25	0.500	0.600	10
8		1500	4	25	0.500	0.636	11
8		1500	6	25	0.500	0.667	12
8		1500	2	30	0.500	0.556	9
8		1500	4	30	0.500	0.636	11
8		1500	6	30	0.500	0.667	12
8		1500	2	35	0.500	0.500	8
8		1500	4	35	0.500	0.600	10
8		1500	6	35	0.500	0.600	10
